         6313134 function calls (6265562 primitive calls) in 8.094 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       64    0.001    0.000    0.001    0.000 atoms.py:1032(extend)
      162    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x10ccc68c0}
      826    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
    86/34    0.001    0.000    0.002    0.000 sre_parse.py:493(_parse)
       66    0.001    0.000    0.002    0.000 cif.py:752(expand_kinds)
      300    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
      293    0.001    0.000    0.002    0.000 linalg.py:135(_commonType)
   256/64    0.001    0.000    0.002    0.000 arrayprint.py:789(recurser)
      260    0.001    0.000    5.586    0.021 calculator.py:722(get_property)
       66    0.001    0.000    0.017    0.000 cif.py:776(atoms_to_loop_data)
    247/2    0.001    0.000    0.396    0.198 <frozen importlib._bootstrap_external>:844(exec_module)
      826    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:185(cb)
     3230    0.001    0.000    0.001    0.000 digraph.py:782(successors)
      291    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
      134    0.001    0.000    0.006    0.000 adsorption.py:214(get_periodic_sites)
     4213    0.001    0.000    0.001    0.000 multiarray.py:1071(copyto)
      494    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     4117    0.001    0.000    0.001    0.000 multiarray.py:341(where)
      247    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      103    0.001    0.000    0.405    0.004 convert.py:33(to_networkx_graph)
        5    0.001    0.000    0.033    0.007 gratoms.py:313(__imul__)
      880    0.001    0.000    0.001    0.000 multigraph.py:374(new_edge_key)
        1    0.001    0.001    0.001    0.001 stata.py:737(StataMissingValue)
       58    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      192    0.001    0.000    0.001    0.000 arrayprint.py:1018(__call__)
      713    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      633    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
      146    0.001    0.000    0.001    0.000 {method 'tolist' of 'numpy.ndarray' objects}
      231    0.001    0.000    0.013    0.000 _decorators.py:368(decorator)
      247    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      293    0.001    0.000    0.002    0.000 typing.py:137(_type_check)
      462    0.001    0.000    0.001    0.000 cif.py:647(add)
      602    0.001    0.000    0.006    0.000 re.py:289(_compile)
       65    0.001    0.000    5.496    0.085 eam.py:654(calculate)
      738    0.001    0.000    0.025    0.000 <__array_function__ internals>:177(unique)
      272    0.001    0.000    0.001    0.000 {method 'view' of 'numpy.ndarray' objects}
     1122    0.001    0.000    0.004    0.000 fnmatch.py:70(fnmatchcase)
        1    0.001    0.001    0.001    0.001 base.py:90(ExtensionArray)
     1995    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
  211/202    0.001    0.000    0.002    0.000 copy.py:128(deepcopy)
      143    0.001    0.000    0.011    0.000 cell.py:251(scaled_positions)
        1    0.001    0.001    0.019    0.019 eam.py:282(read_potential)
     2250    0.001    0.000    0.001    0.000 posixpath.py:52(normcase)
     1354    0.001    0.000    0.001    0.000 atoms.py:490(set_array)
     2092    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      565    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:156(__enter__)
       66    0.001    0.000    0.119    0.002 formats.py:632(_write)
     6288    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
        1    0.001    0.001    1.272    1.272 mcmc.py:248(get_adsorption_coords)
     4096    0.001    0.000    0.001    0.000 numerictypes.py:650(<listcomp>)
        1    0.001    0.001    0.001    0.001 {built-in method posix.unlink}
      260    0.001    0.000    5.587    0.021 atoms.py:713(get_potential_energy)
       36    0.001    0.000    0.561    0.016 __init__.py:1(<module>)
        1    0.001    0.001    0.001    0.001 apply.py:930(FrameColumnApply)
      729    0.001    0.000    0.007    0.000 <__array_function__ internals>:177(around)
     1067    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
       39    0.001    0.000    0.002    0.000 dag.py:158(<listcomp>)
      291    0.001    0.000    0.041    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      217    0.001    0.000    0.001    0.000 functools.py:35(update_wrapper)
       90    0.001    0.000    0.336    0.004 multigraph.py:923(copy)
      269    0.001    0.000    0.001    0.000 gratoms.py:56(<listcomp>)
       66    0.001    0.000    0.007    0.000 cif.py:618(format_cell)
      260    0.001    0.000    0.085    0.000 calculator.py:703(check_state)
      741    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      401    0.001    0.000    0.001    0.000 reportviews.py:843(__init__)
     1090    0.001    0.000    0.001    0.000 __init__.py:1424(debug)
     1675    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     4192    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     3230    0.001    0.000    0.001    0.000 graph.py:416(__contains__)
     1652    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     4533    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
      133    0.001    0.000    0.001    0.000 atoms.py:1211(translate)
     2933    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
       39    0.001    0.000    0.002    0.000 dag.py:157(<dictcomp>)
      729    0.001    0.000    0.008    0.000 <__array_function__ internals>:177(round_)
       65    0.001    0.000    5.587    0.086 mcmc.py:81(slab_energy)
  399/306    0.001    0.000    0.098    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      729    0.001    0.000    0.006    0.000 fromnumeric.py:3257(around)
       84    0.001    0.000    0.407    0.005 binary.py:105(disjoint_union)
      328    0.000    0.000    0.001    0.000 atoms.py:258(symbols)
      853    0.000    0.000    0.001    0.000 atoms.py:958(__len__)
       64    0.000    0.000    0.010    0.000 arrayprint.py:523(_array2string)
        1    0.000    0.000    8.094    8.094 mcmc.py:275(mcmc_run)
      291    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
      394    0.000    0.000    0.001    0.000 symbols.py:58(__init__)
      401    0.000    0.000    0.001    0.000 reportviews.py:1229(__call__)
       66    0.000    0.000    0.030    0.000 cif.py:740(chemical_formula_header)
       64    0.000    0.000    0.007    0.000 arrayprint.py:452(_get_format_function)
       64    0.000    0.000    0.002    0.000 convert.py:365(from_dict_of_dicts)
        5    0.000    0.000    0.002    0.000 coordinates.py:4(expand_cell)
     2933    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      291    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      731    0.000    0.000    0.001    0.000 typing.py:712(__setattr__)
      574    0.000    0.000    0.001    0.000 linalg.py:111(_makearray)
       66    0.000    0.000    0.146    0.002 formats.py:566(write)
      826    0.000    0.000    0.006    0.000 _decorators.py:387(<genexpr>)
      538    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:385(cached)
       65    0.000    0.000    0.000    0.000 neighborlist.py:852(__init__)
   124/33    0.000    0.000    0.001    0.000 sre_compile.py:71(_compile)
      729    0.000    0.000    0.007    0.000 fromnumeric.py:3764(round_)
        1    0.000    0.000    0.422    0.422 surface.py:556(transform_ab)
       65    0.000    0.000    0.000    0.000 neighborlist.py:962(<listcomp>)
     3342    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       65    0.000    0.000    0.312    0.005 calculator.py:760(calculate)
      401    0.000    0.000    0.001    0.000 reportviews.py:1003(__init__)
      266    0.000    0.000    0.011    0.000 __init__.py:109(import_module)
     2455    0.000    0.000    0.000    0.000 numeric.py:2255(_isclose_dispatcher)
      271    0.000    0.000    0.000    0.000 atoms.py:438(pbc)
